id, tasks, dayone, daytwo, daythree, dayfour, dayfive, daysix, dayseven, dayeight, daynine, dayten
\vspace{-0.8cm}
% 27, 	28,	29,	30, 31,	3, 	4, 	5, 	6, 7

51\cellcolor{lightgray}, \textbf{Planning}\cellcolor{lightgray}, 			\textbf{12}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{6}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{12}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{12}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}, 	\textbf{0}\cellcolor{lightgray}

52\cellcolor{lightgray}, 							\textbf{Meetings}\cellcolor{lightgray},					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{6}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}	, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}



53\cellcolor{lightgray},						\textbf{Administration}\cellcolor{lightgray},								\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{2}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}	, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}
	,mail correspondance, 0, 0,0.5, 0,0,0,0,0,0,0
	,status report,	0, 0,1.5, 0,0, 0, 0, 0, 0,


55\cellcolor{lightgray},						\textbf{Branding}\cellcolor{lightgray},								\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{12}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}	, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{8.25}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}, 					\textbf{0}\cellcolor{lightgray}										
,find new app name,0,0,12,0,0,0,0,0,0,0
,make icon packs,0,0,0,0,0,0,0,8.25,0,0



