id, tasks, dayone, daytwo, daythree, dayfour, dayfive, daysix, dayseven, dayeight, daynine, dayten
,Discuss restructure of report,0,0,0,1.25,0,0,1.5,0,0,0
,Write about domain knowledge,0,0,0,0,1,0,0,0,0,0
,Discuss restructure of report,0,0,0,0,0.25,0,0,0,0,0
,Discuss restructure of report,0,0,0,0,0,1.75,0,0,0,0
,Discuss report restructure,0,0,0,0,0,1.75,0,0,0,0
,Fix design section in development process,0,0,0,0,0,0,0,2.75,0,4.75
,Report cleanup,0,0,0,0,0,0.5,0,0,1,0
,Fix small tasks after meeting,0,0,0,0,1,1,0,0,0,0
,Move most influential risks to retrospect,0,0,0,0,0,2,0,0,0,0
,report restructure,0,0,0,0,0,0,0,4.25,0,0
,Update about the customer,0,0,0,0,0,0,0,0.25,0,0.25
,Update milestones,0,0,0,0,0,0,0,0.25,0,0
,Development envrionment intro + dropwizard contents,0,0,0,0,0,0,0,0.25,0,0
,add scrum illustration,0,0,0,0,0,0,0,0.25,0,0.75
,Add intro to 3.2,0,0,0,0,0,0,0,0,0,0.5
,Write sections in further development,0,0,0,0,0,0,0,0,0,2.25
,Read through the report conventions on github,0,0,0,0,0,0,0,0,0,0.5
133,User has a concept device tab,0,0,0,0,0,0,0,0,0,0
,Work on the design,3,4,1,1,0,1,4,2,0,0
,Fix bug: Category spinner always selects the first category when editing,0,0,1,0,0,0,0,0,0,0
,Add delete option to devices,0,0,2,0,0,0,0,0,0,0
,Fix android device,0,1.25,0,0,0,1,1,3,0,0
,Change name of editdialog from add dialog to edit dialog,0,1,0,0,0,0,0,0,0,0
,Implement number of devices indicator,0,0,0,2,0,0,0,0,0,0
,Update the device tab to support an permament total usage instance,0,0,0,1,0,0,0,0,0,0
,Add toasts for events,0,0,0,1,0,0,0,0,0,0
,Long clicking category craches the app,0,0,0,0,0,1,0,4,0,0
130,The user has a concept social tab,0,0,0,0,0,0,0,0,0,0
,add "back" button in compare to others,0,0,0,0,0,1,1,3.75,0,0
,Add actual facebook data. Picture and friends list.,0,0,4,1.75,0,0,0,0,0,0
,add comparison settings to hamburger menu(filter),2.25,0,0,0,0,0,0,0,0,0
,fix bug with "Filter" menu-item multiplying when changing to another fragment/tab,0,0,0,0,0,0.5,0,3,0,0
114,The user has a profile tab,0,0,0,0,0,0,0,0,0,0
,Hide/Deactivate share function when not logged on to facebook,0,0,0,1.25,0,0,0,0,0,0
,Weeks bugged in the line graph,0,0,0,0,0,2,0,0,0,0
,Line graph starts at the wrong place,0,0,0,0,0,1,0,0,0,0
131,Branding,0,0,0,0,0,0,0,0,0,0
,Make logo,0,0,0,0,1,0,0,0,1.5,0
,Create lighting icon,0,0,0,0,0.25,0,0,0,0,0
,Redo tip-icon,0,0,0,0.75,0,0,0,0,0,0
,upload icons,0,0,0,0,0.25,0,0,0,0,0
,wattometer,0,0,0,0,0,0,0,1.25,0,0
141,Complete design of tabs,0,0,0,0,0,0,0,0,0,0
,Revise design consistency,0,0,0,0,1.75,0,0,0,0,0
106,Bug fixing,0,0,0,0,0,0,0,0,0,0
,Bug fixing and testing,0,0,5,0,4.5,0,0,8,0,0
104,Refactor and optimizing,0,0,0,0,0,0,0,0,0,0
,Server configuration,0,0,0,0,0,0,0,2.75,0,0
,General optimizations,0,2,2,0,0,0,4,0,0,0
,,18.5,12,38.75,17.5,18.25,43.75,17.25,53.75,8.5,29
