id, tasks, dayone, daytwo, daythree, dayfour, dayfive, daysix, dayseven, dayeight, daynine, dayten
\vspace{-0.8cm}
ID,Description,Day1,Day2,Day 3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
,planlegging,12,,12,,,12,,,,
,møter,,,,,6,,,,,
148,The user has a functional home page,0,0,0,0,0,0,2.25,3,0,0
,Add support for wall posts on server,0,0,0,0,0,0,0,4,0,0
,Add support for wall posts on client,0,0,0,0,0,0,0,0,0,0
,Populate wall on event,0,0,0,0,0,0,0,0,0,0
146,Administration,0,0,0,0,0,0,0,0,0,0
,Add tasks from friday to yodiz,0,0,0,0,0,0.75,0,0,0,0
145,General improvements,0,0,0,0,0,0,0,0,0,0
,Change the spinner text/ style,0,0,0,0,0,0.5,0,0,0,0
,Update devices user id when the user logs on to facebook for the first time,0,0,0,0,0,0.25,0,0,0,0
,Add usage tab: input field for kWh cant even hold 2 digits. Remove the arrow thingys and have a clean input field?,0,0,0,0,0,0,0,1,0,0
,Add usage tab: when the keyboard opens the add usage button looks bad,0,0,0,0,0,0,0,0,0,1
,Update the look on the homepage,0,0,0,0,0,0,0,4,0,2.25
142,Language support,0,0,0,0,0,0,0,0,0,0
,Translate usage changes,0,0,0,0,0,0,1,0,0,0
,Translate device tab changes,0,0,0,1,0,0,0,0,0,0
,Fix missing translations,0,0,0,0,0,0,1,1,0,0
129,Final version of report,0,0,0,0,0,0,0,0,0,0
,Technical documentation,0,0,0,0,0,0.75,0,0,0,0
,Remove unnecessary links,0,0,0,0,0,0,0,0,0.5,0
,revise report,0,0,0,0,0,0,0,0.5,0.5,4.5
,User Manual - write overview of the usagetab,0,0,0.5,0,0,0,0,0,0,0
,rewrite the use cases,0,0,0,0,1,0,0,0,0,0
,burndown charts,0,2.25,0,0,1,0,0,0.5,0,0
,User manual outline,0,0,1,0,0,0,0,0,1.5,0
,Sprint 4 - summary,0,0,0.25,0,0,0,0,0,0,0
,Sprint 5 - issues and solutions,0,0,0.25,0,0,0,0,0,0,0
,Reviewed, rewrote and added todos in chapter 5,0.5,0,0,0,0,0,0,0,0,0.5
,add screenshot of existing solutions,0.75,1.5,0,0,0,0,0,0,0,2.75
,Sprint 6 - summary,0,0,0.25,0,0,0,0,0,0,0
,Sprint 6 - work done,0,0,0,0,0,0.5,0,0,0,0
,Sprint 6 - review,0,0,0,0,0,0.25,0,0,0,0
,Sprint 5 - summary,0,0,0.25,0,0,0,0,0,0,0
,Sprint 5 - review,0,0,0.25,0,0,0,0,0,0,0
,Sprint 5 - work done,0,0,0.5,0,0,0,0,0,3,0
,Sprint 4 - work done,0,0,0.25,0,0,0,0,0,0,0
,Sprint 4 - issues and solutions,0,0,0.25,0,0,0,0,0,0,1.5
,Sprint 4 - review,0,0,0.5,0,0.25,0,0,0,0,0
,Fix sharelatex,0,0,0.5,0,0,0,0,0,0,0
,add further development outline,0,0,0,0,0,2,0,0,0,2.25
,Read through the report and add/fix todos,0,0,0,0,0,3,0,0,0,0
,Write status report for supervisor,0,0,1,0,0,0,0,0,0,0
,Restructure sprints,0,0,0,0,0,0,0,4,0,0
,backlog for sprint 1,0,0,0,6.5,0,0,0,0,0,3.75
,backlog for sprint 5,0,0,6,0,0,3,0,0,0,0
,backlog sprint 4,0,0,0,0,0,2.75,0,0,0,1.5
,backlog sprint 3,0,0,0,0,0,3.5,0,0,0,0
,backlog sprint 2,0,0,0,0,0,0,1.5,0,0.5,0
