id, tasks, dayone, daytwo, daythree, dayfour, dayfive, daysix, dayseven, dayeight, daynine, dayten
\vspace{-0.8cm}

x\cellcolor{lightgray},Planning\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},12\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},12\cellcolor{lightgray},0\cellcolor{lightgray},12\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray}
x\cellcolor{lightgray},Meetings\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},6\cellcolor{lightgray}
101,Replace dummy data with data from server,0,0,4,0,0,5.25,5.25,8.5,0,10
,Backend sync logic,0,0,0,0,0,5.25,0,0,0,5
,Syncprovider perform sync,0,0,4,0,0,0,5.25,8.5,0,0
,Make tips work properly,0,0,0,0,0,0,0,0,0,5

103\cellcolor{lightgray},User testing\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},4.5\cellcolor{lightgray},0.5\cellcolor{lightgray}
,perform tests,0,0,0,0,0,0,0,0,0,0.5
,prepare tests,0,0,0,0,0,0,0,0,4.5,0

123\cellcolor{lightgray},Share usage on Facebook\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},4.25\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray}
,Research facebook methods,0,0,0,0,0,0,0,2.5,0,0
,Post on facebook wall,0,0,0,0,0,0,0,1.75,0,0

124\cellcolor{lightgray},Language support\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},2\cellcolor{lightgray},0\cellcolor{lightgray},1.25\cellcolor{lightgray}
,Cleanup the strings.xml,0,0,0,0,0,0,0,1,0,0
,Translate the Usage tab,0,0,0,0,0,0,0,1,0,0
,translate all strings in social context to norwegian,0,0,0,0,0,0,0,0,0,1.25

125\cellcolor{lightgray},Review of requirements\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},8\cellcolor{lightgray},0\cellcolor{lightgray}

118\cellcolor{lightgray},Usage tab\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},1.25\cellcolor{lightgray},0\cellcolor{lightgray},3\cellcolor{lightgray},5\cellcolor{lightgray},11\cellcolor{lightgray},20\cellcolor{lightgray},2\cellcolor{lightgray}
,Work on design,0,0,0,1.25,0,3,2,2,7,0
,Fix addUsageTab to add manual points correctly,0,0,0,0,0,0,3,0,0,0
,Usage cleanup,0,0,0,0,0,0,0,0,2,0
,Rewrite the usage tab to use a set of points instead of all,0,0,0,0,0,0,0,9,6,2
,Implement segments,0,0,0,0,0,0,0,0,5,0

114\cellcolor{lightgray},Profile tab\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},8.75\cellcolor{lightgray},0\cellcolor{lightgray},2.25\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},1\cellcolor{lightgray},4.5\cellcolor{lightgray}
,Retrieve facebook info when logged in,0,0,0,3.25,0,1.5,0,0,0,0
,Profile tab back-end,0,0,0,5.5,0,0,0,0,1,0
,Finish profile tab design,0,0,0,0,0,0.75,0,0,0,0
,Add support for editing residences,0,0,0,0,0,0,0,0,0,4.5

120\cellcolor{lightgray},Social tab\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},4.5\cellcolor{lightgray},2.5\cellcolor{lightgray},3\cellcolor{lightgray},1\cellcolor{lightgray},2.5\cellcolor{lightgray},4.75\cellcolor{lightgray},10.5\cellcolor{lightgray},11.5\cellcolor{lightgray}
,add "back" button in compare to others,0,0,0,0,0,0,0,1,0,0
,Add actual facebook data. Picture and friends list.,0,0,0,0,0,0,0,0,0,10.5
,comparison settings,0,0,4.5,2.5,1.5,0,0,0,0,1
,add comparison settings to hamburger menu(filter),0,0,0,0,0,0,0,0,7.5,0
,fix of compare to friends,0,0,0,0,0,0,0.75,0.75,3,0
,move comparison settings to be above graph in comparison to others,0,0,0,0,0,0,0,3,0,0
,Change the similar profiles tab to contain the comparison settings and a link to chainge them,0,0,0,0,1.5,1,1.75,0,0,0

121\cellcolor{lightgray},Final version of report\cellcolor{lightgray},0\cellcolor{lightgray},0.5\cellcolor{lightgray},0\cellcolor{lightgray},1.25\cellcolor{lightgray},4.1\cellcolor{lightgray},1.25\cellcolor{lightgray},1\cellcolor{lightgray},1\cellcolor{lightgray},1.25\cellcolor{lightgray},2.5\cellcolor{lightgray}
,review, rewrote and added todos,0,0.5,0,0.75,2.6,0.5,1,0,0,0
,add examples pf meeting reports + agenda,0,0,0,0.5,1.5,0.75,0,0,1.25,0
,set up outline for statusreport,0,0,0,0,0,0,0,1,0,2.5

122\cellcolor{lightgray},Home tab\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0.5\cellcolor{lightgray},0.25\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},2.75\cellcolor{lightgray}
,Fix events on the serverside,0,0,0,0,0,0,0,0,0,2
,set up xml,0,0,0,0,0,0.5,0.25,0,0,0
,setup hard-coded newsfeed,0,0,0,0,0,0,0,0,0,0.75

110\cellcolor{lightgray},Device tab\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},6\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},0\cellcolor{lightgray},2\cellcolor{lightgray},5\cellcolor{lightgray},2\cellcolor{lightgray},0\cellcolor{lightgray}
,work on design,0,0,1.25,0,0,0,0,0,0,0
,Split producing devices from other devices,0,0,1,0,0,0,0,0,0,0
,Make each category contain all the devices in that category,0,0,2.5,0,0,0,0,0,0,0
,Update Android studio,0,0,0.5,0,0,0,0,0,0,0
,Insert the correct categories,0,0,0.75,0,0,0,0,0,0,0
,Make the devices editable,0,0,0,0,0,0,2,5,0,0
,Add icon to the categories,0,0,0,0,0,0,0,0,2,0
, \textbf{SUM},0,0.5,26.5,13.75,7.1,25.25,16, 48.5, 47.25,41
